sample_id,cohort,CD8_T_cells,CD4_T_cells,M1_Macrophages,M2_Macrophages,Tregs,CD274_PDL1_TPM
TCGA-EB-A4CQ-01,TCGA-SKCM,0.32,0.18,0.15,0.08,0.05,7.85
TCGA-GN-A4U8-01,TCGA-SKCM,0.28,0.15,0.14,0.10,0.04,6.92
TCGA-ER-A197-01,TCGA-SKCM,0.35,0.20,0.18,0.06,0.06,8.21
TCGA-EE-A3JH-01,TCGA-SKCM,0.25,0.14,0.12,0.12,0.03,5.90
TCGA-D3-A2CE-01,TCGA-SKCM,0.30,0.16,0.13,0.09,0.05,6.45
TCGA-FR-A382-01,TCGA-SKCM,0.22,0.12,0.10,0.15,0.02,4.80
TCGA-FS-A1Z0-01,TCGA-SKCM,0.31,0.17,0.16,0.07,0.05,7.10
TCGA-FW-A3R5-01,TCGA-SKCM,0.27,0.15,0.13,0.11,0.04,6.20
TCGA-GF-A4EO-01,TCGA-SKCM,0.34,0.19,0.17,0.06,0.06,8.02
TCGA-D3-A1Q3-01,TCGA-SKCM,0.18,0.10,0.08,0.18,0.02,4.10
TCGA-05-4244-01,TCGA-LUAD,0.18,0.22,0.09,0.16,0.04,4.25
TCGA-38-4625-01,TCGA-LUAD,0.15,0.20,0.07,0.18,0.03,3.80
TCGA-44-6775-01,TCGA-LUAD,0.22,0.25,0.11,0.14,0.05,5.10
TCGA-49-4507-01,TCGA-LUAD,0.12,0.18,0.06,0.20,0.02,3.15
TCGA-50-5931-01,TCGA-LUAD,0.19,0.23,0.10,0.15,0.04,4.40
TCGA-55-6972-01,TCGA-LUAD,0.14,0.19,0.07,0.19,0.03,3.60
TCGA-62-A46P-01,TCGA-LUAD,0.21,0.24,0.12,0.13,0.05,4.95
TCGA-64-1678-01,TCGA-LUAD,0.16,0.21,0.08,0.17,0.03,3.90
TCGA-69-7978-01,TCGA-LUAD,0.24,0.26,0.13,0.12,0.06,5.50
TCGA-73-4658-01,TCGA-LUAD,0.11,0.17,0.05,0.21,0.02,2.90
TCGA-A2-A04T-01,TCGA-BRCA,0.12,0.28,0.06,0.22,0.03,3.20
TCGA-A8-A09G-01,TCGA-BRCA,0.09,0.25,0.04,0.25,0.02,2.75
TCGA-AO-A0J6-01,TCGA-BRCA,0.16,0.30,0.08,0.19,0.04,4.10
TCGA-AR-A1AQ-01,TCGA-BRCA,0.08,0.24,0.03,0.26,0.01,2.40
TCGA-BH-A0BO-01,TCGA-BRCA,0.14,0.29,0.07,0.20,0.03,3.85
TCGA-C8-A1HJ-01,TCGA-BRCA,0.11,0.27,0.05,0.23,0.02,3.10
TCGA-D8-A1XK-01,TCGA-BRCA,0.15,0.31,0.08,0.18,0.04,4.00
TCGA-E2-A15A-01,TCGA-BRCA,0.07,0.22,0.03,0.27,0.01,2.20
TCGA-EW-A1OV-01,TCGA-BRCA,0.13,0.28,0.06,0.21,0.03,3.50
TCGA-GI-A2C8-01,TCGA-BRCA,0.10,0.26,0.04,0.24,0.02,2.80
